Total population,3317749,,,39250016,,,323127520,,
Under 5 years,213615,+/- 1052,6.4,2482422,+/- 3717,6.3,19798554,+/- 24659,6.1
5 to 9 years,197443,+/- 5553,6,2524786,+/- 21149,6.4,20483110,+/- 55917,6.3
10 to 14 years,198933,+/- 5431,6,2546294,+/- 20788,6.5,20705797,+/- 55093,6.4
15 to 19 years,209016,+/- 694,6.3,2585154,+/- 6016,6.6,21491901,+/- 36273,6.7
20 to 24 years,263014,+/- 7408,7.9,2807120,+/- 22330,7.2,22172673,+/- 74274,6.9
25 to 34 years,544022,+/- 1148,16.4,5902164,+/- 6013,15,44390248,+/- 35141,13.7
35 to 44 years,434359,+/- 8294,13.1,5168066,+/- 24857,13.2,40655592,+/- 75474,12.6
45 to 54 years,423016,+/- 981,12.8,5198221,+/- 5771,13.2,42755590,+/- 30756,13.2
55 to 59 years,203802,+/- 5320,6.1,2481314,+/- 17730,6.3,21714703,+/- 50310,6.7
60 to 64 years,184706,+/- 5844,5.6,2206037,+/- 19663,5.6,19744182,+/- 60716,6.1
65 to 74 years,255604,+/- 6504,7.7,3092039,+/- 20492,7.9,28681808,+/- 64130,8.9
75 to 84 years,125802,+/- 4680,3.8,1538860,+/- 16269,3.9,14256737,+/- 47874,4.4
85 years and over,64417,+/- 3536,1.9,717540,+/- 11398,1.8,6276620,+/- 33327,1.9
Median age in years,35.7,+/- 0.2,,36.4,+/- 0.2,,37.9,+/- 0.1,
5 years and over,3104134,+/- 935,93.6,36767596,+/- 2763,93.7,303328960,+/- 21564,93.9
15 years and over,2707758,+/- 265,81.6,31696516,+/- 3180,80.8,262140048,+/- 41084,81.1
Under 18 years of age,728328,+/- 7843,22,9093249,+/- 30059,23.2,73637743,+/- 84356,22.8
18 years and over,2589421,+/- 16295,78,30156768,+/- 52224,76.8,249489772,+/- 167620,77.2
21 years and over,2446052,+/- 15745,73.7,28534107,+/- 50439,72.7,236053044,+/- 160622,73.1
25 years and over,2235728,+/- 844,67.4,26304240,+/- 4823,67,218475488,+/- 68613,67.6
62 years and over,551693,+/- 9736,16.6,6597908,+/- 32261,16.8,60676451,+/- 97006,18.8
65 years and over,445823,+/- 658,13.4,5348439,+/- 3163,13.6,49215164,+/- 22133,15.2
Total population,3317749,,,39250016,,,323127520,,
Male,1667581,+/- 1080,50.3,19491232,+/- 4158,49.7,159061632,+/- 26978,49.2
18 years old and over,1295376,+/- 700,77.7,14848286,+/- 3664,76.2,121383152,+/- 25118,76.3
65 years old and over,197245,+/- 5696,11.8,2371854,+/- 17227,12.2,21760438,+/- 54248,13.7
Female,1650168,+/- 1080,49.7,19758786,+/- 4158,50.3,164065888,+/- 26978,50.8
18 years old and over,1294045,+/- 700,78.4,15308482,+/- 3131,77.5,128106624,+/- 21215,78.1
65 years old and over,248578,+/- 6652,15.1,2976585,+/- 22754,15.1,27454727,+/- 67619,16.7
Total population,3317749,,,39250016,,,323127520,,
One race,3149218,+/- 20100,94.9,37370367,+/- 95073,95.2,312701073,+/- 185508,96.8
White alone,2385470,+/- 13363,71.9,23420234,+/- 62421,59.7,234644032,+/- 111971,72.6
Black or African American,165878,+/- 4873,5,2265280,+/- 14911,5.8,40893368,+/- 64285,12.7
American Indian and Alaska Native,24980,+/- 4012,0.8,290133,+/- 15511,0.7,2676399,+/- 33067,0.8
Asian,389369,+/- 7045,11.7,5602074,+/- 18509,14.3,17556936,+/- 43427,5.4
Native Hawaiian and Other Pacific Islander,14356,+/- 2378,0.4,150521,+/- 6036,0.4,595986,+/- 11433,0.2
Some other race,169165,+/- 11416,5.1,5642125,+/- 65579,14.4,16334352,+/- 120967,5.1
Two or more races,168531,+/- 9351,5.1,1879650,+/- 30456,4.8,10426435,+/- 90471,3.2
White (alone or in combination),2530035,+/- 14393,76.3,24980440,+/- 65636,63.6,243538560,+/- 137283,75.4
Black (alone or in combination),209727,+/- 5276,6.3,2758577,+/- 14398,7,45133880,+/- 51800,14
American Indian (alone or in combination),53007,+/- 6244,1.6,746753,+/- 23376,1.9,5586703,+/- 45453,1.7
Asian (alone or in combination),475254,+/- 3727,14.3,6432756,+/- 14312,16.4,20901780,+/- 30630,6.5
Native Hawaiian (alone or in combination),35281,+/- 3739,1.1,319337,+/- 11253,0.8,1366322,+/- 23332,0.4
Some other race (alone or in combination),200685,+/- 13157,6,6074661,+/- 64220,15.5,18049904,+/- 115006,5.6
Total population,3317749,,,39250016,,,323127520,,
Hispanic or Latino of any race,1112325,,33.5,15280776,,38.9,57398720,+/- 9826,17.8
Not Hispanic or Latino,2205424,,66.5,23969240,,61.1,265728800,+/- 9826,82.2
White alone,1523776,+/- 1004,45.9,14725729,+/- 8629,37.5,197479456,+/- 20766,61.1
Black or African American alone,155477,+/- 3553,4.7,2160958,+/- 12799,5.5,39717128,+/- 59556,12.3
American Indian and Alaska Native alone,13231,+/- 2072,0.4,132153,+/- 5781,0.3,2125635,+/- 18356,0.7
Asian alone,381057,+/- 6520,11.5,5518226,+/- 16185,14.1,17345192,+/- 41556,5.4
Native Hawaiian and Other Pacific Islander alone,12918,+/- 2085,0.4,137019,+/- 4940,0.3,533675,+/- 10049,0.2
